CoC Number,CoC Name,CoC Category,"Overall Homeless 2019","Overall Homeless - Under 18 2019","Overall Homeless - Age 18 to 24 2019","Overall Homeless - Over 24 2019","Overall Homeless - Female 2019","Overall Homeless - Male 2019","Overall Homeless - Transgender 2019","Overall Homeless - Gender Non-Conforming 2019","Overall Homeless - Non-Hispanic/Non-Latino, 2019","Overall Homeless - Hispanic/Latino, 2019","Overall Homeless - White, 2019","Overall Homeless - Black or African American, 2019","Overall Homeless - Asian, 2019","Overall Homeless - American Indian or Alaska Native, 2019","Overall Homeless - Native Hawaiian or Other Pacific Islander 2019","Overall Homeless - Multiple Races 2019"
AK-500,Anchorage CoC,Other Largely Urban CoC, 1111 ,193,132,786,422,685,4,0, 1,047 ,64,333,140,18,439,64
AK-501,Alaska Balance of State CoC,Largely Rural CoC,796,142,72,582,339,452,2,3,755,41,334,24,18,325,9,86
AL-500, Birmingham/Jefferson St. Clair Shelby Counties CoC ,Largely Suburban CoC,981,108,72,801,358,622,1,0,958,23,319,633,1,12,3,13
AL-501,Mobile City & County/Baldwin County CoC,Other Largely Urban CoC,505,110,18,377,216,289,0,0,491,14,181,298,1,8,1,16
AL-502,Florence/Northwest Alabama CoC,Largely Rural CoC,390,152,8,230,217,172,1,0,378,12,233,153,0,1,1,2
AL-503,Huntsville/North Alabama CoC,Other Largely Urban CoC,464,79,28,357,204,260,0,0,434,30,240,174,4,23,2,21
AL-504,Montgomery City & County CoC,Other Largely Urban CoC,330,78,18,234,138,192,0,0,325,5,76,236,0,6,1,11
AL-505,Gadsden/Northeast Alabama CoC,Largely Rural CoC,224,20,9,195,79,143,1,1,218,6,131,87,0,1,0,5
AL-506,Tuscaloosa City & County CoC,Other Largely Urban CoC,44,7,0,37,17,27,0,0,40,4,22,22,0,0,0,0
AL-507,Alabama Balance of State CoC,Largely Rural CoC,323,75,46,202,154,168,0,1,317,6,178,138,1,4,1,1
AR-500,Little Rock/Central Arkansas CoC,Other Largely Urban CoC, 1066 ,109,64,893,414,651,0,1, 1,036 ,30,503,532,0,6,3
AR-501,Fayetteville/Northwest Arkansas CoC,Other Largely Urban CoC,518,81,85,352,201,315,0,2,507,11,383,54,3,16,12,50
AR-503,Arkansas  Balance of State  CoC,Largely Rural CoC,811,43,146,622,272,539,0,0,797,14,528,245,1,6,8,23
AR-505,Southeast Arkansas CoC,Largely Rural CoC,75,29,7,39,43,32,0,0,72,3,26,46,0,0,0,3
AR-508,Fort Smith CoC,Largely Rural CoC,247,41,15,191,92,151,4,0,245,2,211,25,0,8,1,2
AZ-500,Arizona Balance of State CoC,Largely Rural CoC, 2021 ,291,124, 1,606 ,767, 1,245 ,5,4, 1,626 ,395, 1,384 ,79
AZ-501,Tucson/Pima County CoC,Major City CoC, 1372 ,208,113, 1,051 ,499,869,3,1,944,428, 1,006 ,166,1,99
AZ-502, Phoenix Mesa/Maricopa County CoC ,Major City CoC, 6,614 , 1,103 ,471, 5,040 , 2,417 , 4,183 ,8,6, 5,113 , 1
CA-500,San Jose/Santa Clara City & County CoC,Major City CoC, 9706 ,801, 1,691 , 7,214 , 3,483 , 6,008 ,172,43, 5,557 , 4,149 
CA-501,San Francisco CoC,Major City CoC, 8035 ,384, 1,157 , 6,494 , 2,762 , 4,890 ,266,117, 6,511 , 1,524 
CA-502, Oakland Berkeley/Alameda County CoC ,Major City CoC, 8,022 ,329,753, 6,940 , 2,829 , 4,910 ,122,161, 6,635 , 1,387 
CA-503,Sacramento City & County CoC,Major City CoC, 5561 ,711,414, 4,436 , 2,095 , 3,425 ,25,16, 4,576 ,985, 2,605 
CA-504, Santa Rosa Petaluma/Sonoma County CoC ,Largely Suburban CoC, 2,951 ,277,554, 2,120 ,916, 2,028 ,6,1, 2,120 ,831, 1,908 
CA-505,Richmond/Contra Costa County CoC,Largely Suburban CoC, 2295 ,191,134, 1,970 ,851, 1,438 ,4,2, 1,915 ,380, 1,033 ,775
CA-506, Salinas/Monterey San Benito Counties CoC ,Largely Rural CoC, 2,704 ,380,353, 1,971 ,942, 1,759 ,3,0, 1,363 , 1,341 , 1
CA-507,Marin County CoC,Largely Suburban CoC, 1034 ,94,102,838,338,693,3,0,840,194,684,173,17,36,15,109
