CoC Number,CoC Name,CoC Category,"Overall Homeless 2019","Overall Homeless - Under 18 2019","Overall Homeless - Age 18 to 24 2019","Overall Homeless - Over 24 2019","Overall Homeless - Female 2019","Overall Homeless - Male 2019","Overall Homeless - Transgender 2019","Overall Homeless - Gender Non-Conforming 2019","Overall Homeless - Non-Hispanic/Non-Latino, 2019","Overall Homeless - Hispanic/Latino, 2019","Overall Homeless - White, 2019","Overall Homeless - Black or African American, 2019","Overall Homeless - Asian, 2019","Overall Homeless - American Indian or Alaska Native, 2019","Overall Homeless - Native Hawaiian or Other Pacific Islander 2019","Overall Homeless - Multiple Races 2019"
AK-500,Anchorage CoC, 1023 ,188,146,689,665,86,88,491,305,99,38,168,0,0,0,970,185
AK-501,Alaska Balance of State CoC,761,209,56,496,474,119,30,325,195,61,21,113,0,0,0,669,180
AL-500, Birmingham/Jefferson St. Clair Shelby Counties CoC , 1,329 ,262,76,991,387,47,27,313,497,169,12,316,31,4,27,915
AL-501,Mobile City & County/Baldwin County CoC,598,126,44,428,287,69,24,194,174,52,11,111,0,0,0,461,121
AL-502,Florence/Northwest Alabama CoC,209,50,6,153,38,7,1,30,151,38,2,111,0,0,0,189,45
AL-503,Huntsville/North Alabama CoC,536,93,32,411,413,50,21,342,86,43,9,34,0,0,0,499,93
AL-504,Montgomery City & County CoC,490,78,24,388,120,16,8,96,289,55,15,219,0,0,0,409,71
AL-505,Gadsden/Northeast Alabama CoC,438,18,41,379,354,13,23,318,14,5,1,8,0,0,0,368,18
AL-506,Tuscaloosa City & County CoC,245,49,28,168,11,4,1,6,122,17,15,90,0,0,0,133,21
AL-507,Alabama Balance of State CoC,716,96,115,505,241,22,52,167,303,32,35,236,0,0,0,544,54
AR-500,Little Rock/Central Arkansas CoC, 1074 ,68,163,843,342,31,48,263,229,37,9,183,0,0,0,571,68
AR-501,Fayetteville/Northwest Arkansas CoC,551,121,56,374,156,5,3,148,173,86,15,72,0,0,0,329,91
AR-503,Arkansas  Balance of State  CoC, 1056 ,128,85,843,370,58,57,255,50,2,2,46,0,0,0,420,60
AR-505,Southeast Arkansas CoC,70,24,3,43,58,18,3,37,12,6,0,6,0,0,0,70,24
AR-508,Fort Smith CoC,185,14,8,163,95,13,6,76,18,1,0,17,0,0,0,113,14
AZ-500,Arizona Balance of State CoC, 2398 ,408,224, 1,766 , 1,019 ,203,106,710,330,129,33,168,0,0,0
AZ-501,Tucson/Pima County CoC, 2179 ,445,199, 1,535 ,714,130,57,527,983,289,117,577,15,2,13, 1
AZ-502, Phoenix Mesa/Maricopa County CoC , 5,918 , 1,826 ,601, 3,491 , 2,558 ,719,209, 1,630 , 2,282 , 1,101 
CA-500,San Jose/Santa Clara City & County CoC, 7567 ,710, 1,037 , 5,820 ,819,140,35,644, 1,065 ,356,118,591,9,0
CA-501,San Francisco CoC, 6408 ,475, 1,724 , 4,209 , 1,522 ,195,124, 1,203 ,517,141,67,309,54
CA-502, Oakland Berkeley/Alameda County CoC , 4,272 ,632,492, 3,148 ,895,173,101,621, 1,040 ,353,248,439,0,0
CA-503,Sacramento City & County CoC, 2449 ,477,206, 1,766 ,774,214,36,524,889,255,116,518,0,0,0, 1
CA-504, Santa Rosa Petaluma/Sonoma County CoC , 4,266 ,445,873, 2,948 ,570,98,33,439,387,50,30,307,0,0,0
CA-505,Richmond/Contra Costa County CoC, 2009 ,222,141, 1,646 ,423,89,36,298,257,120,34,103,0,0,0,680
CA-506, Salinas/Monterey San Benito Counties CoC , 2,962 ,376,445, 2,141 ,287,66,46,175,469,166,72,231,0,0,0
CA-507,Marin County CoC,679,129,39,511,208,16,10,182,293,113,21,159,0,0,0,501,129
CA-508,Watsonville/Santa Cruz City & County CoC, 3529 ,421,882, 2,226 ,361,90,21,250,273,114,23,136,0,0,0,634
CA-509,Mendocino County CoC, 1404 ,70,116, 1,218 ,117,21,11,85,69,20,19,30,0,0,0,186
CA-510, Turlock Modesto/Stanislaus County CoC , 1,156 ,179,125,852,447,86,37,324,266,40,50,176,0,0,0,713
CA-511,Stockton/San Joaquin County CoC, 1588 ,530,98,960,744,213,44,487,581,302,43,236,0,0,0, 1,325 
CA-512,Daly/San Mateo County CoC, 2024 ,342,135, 1,547 ,271,65,8,198,454,176,46,232,0,0,0,725
CA-513, Visalia/Kings Tulare Counties CoC ,763,92,83,588,161,44,10,107,225,37,41,147,0,0,0,386,81
CA-514,Fresno City & County/Madera County CoC, 2592 ,247,390, 1,955 ,297,91,34,172,389,148,94,147,23,0,23,709
CA-515, Roseville Rocklin/Placer County CoC ,762,83,60,619,166,32,7,127,73,28,7,38,0,0,0,239,60
CA-516, Redding/Shasta Siskiyou Lassen Plumas Del Norte Modoc Sierra Counties CoC ,630,98,158,374,201,41,76,84,347,57,69,221,0,0,0,548,98
CA-517,Napa City & County CoC,285,47,24,214,135,21,4,110,59,26,17,16,0,0,0,194,47
CA-518,Vallejo/Solano County CoC, 1295 ,100,211,984,178,26,32,120,228,45,49,134,0,0,0,406,71
CA-519, Chico Paradise/Butte County CoC ,696,73,71,552,171,21,17,133,102,42,9,51,0,0,0,273,63
CA-520,Merced City & County CoC,768,21,54,693,91,15,5,71,68,3,4,61,0,0,0,159,18
CA-521, Davis Woodland/Yolo County CoC ,442,85,32,325,111,28,6,77,133,57,13,63,0,0,0,244,85
