MN-509,Duluth/St.Louis County CoC,568,152,234,0,386,182,284,15,82,12,44,1,0,126,13,158,2,284,70,190,260,24,97,26,63,89,8,64,21,0,21,43,59,16,0,16,43,5,5,5,0,10,1,9
MN-511,Southwest Minnesota CoC,161,33,100,0,133,28,46,0,11,0,26,0,0,37,0,9,0,115,22,74,96,19,39,8,26,34,5,9,3,0,3,6,1,0,0,0,1,8,3,3,5,5,4,1
MO-500,St. Louis County CoC,543,138,300,0,438,105,176,1,31,0,85,1,0,116,1,60,0,367,107,215,322,45,117,34,67,101,16,43,36,0,36,7,41,34,0,34,7,2,2,2,0,36,34,2
MO-501,St.Louis City CoC,"1,506",711,651,19,"1,381",125,927,10,476,4,310,6,19,805,10,122,0,579,235,341,576,3,184,79,104,183,1,136,83,14,97,39,116,66,14,80,36,20,17,17,3,214,196,18
MO-503,"St. Charles City & County, Lincoln, Warren Counties CoC","1,023",285,259,0,544,479,251,8,59,4,41,1,0,100,5,151,3,772,226,218,444,328,221,78,66,144,77,92,31,0,31,61,27,7,0,7,20,65,24,24,41,5,4,1
MO-600,"Springfield/Greene, Christian, Webster Counties CoC",662,160,334,0,494,168,408,2,71,1,187,1,0,258,2,150,0,254,89,147,236,18,81,30,45,75,6,85,31,0,31,54,81,27,0,27,54,4,4,4,0,38,17,21
MO-602,"Joplin/Jasper, Newton Counties CoC","1,724","1,411",255,0,"1,666",58,442,0,191,0,193,0,0,384,0,58,0,"1,282","1,220",62,"1,282",0,408,389,19,408,0,61,61,0,61,0,61,61,0,61,0,0,0,0,0,84,84,0
MO-603,"St. Joseph/Andrew, Buchanan, DeKalb Counties CoC",186,126,28,17,171,15,119,0,72,0,15,0,17,104,0,15,0,67,54,13,67,0,21,17,4,21,0,58,35,17,52,6,56,33,17,50,6,2,2,2,0,33,31,2
MO-604a,"Kansas City, Independence, Lee’s Summit/Jackson, Wyandotte Counties, MO & KS","2,705","1,033",834,9,"1,876",829,"1,453",50,596,8,387,42,9,992,50,461,0,"1,252",437,447,884,368,469,196,158,354,115,943,539,9,548,395,386,214,9,223,163,557,325,325,232,338,219,119
MO-606,Missouri Balance of State CoC,"2,114",839,622,8,"1,469",645,"1,223",35,420,34,418,0,8,846,34,377,1,891,419,204,623,268,267,133,62,195,72,263,177,8,185,78,185,132,8,140,45,78,45,45,33,191,162,29
