AR-506,"Johnson, Pope, Yell Counties",40,5,17,22,18,40,5,17,22,18,0,0,0,0,0,0,0,0,0,0,2,0,0,2
AZ-500,Arizona Balance of State CoC,"3,236",685,487,"1,172","2,064","2,217",388,201,589,"1,628","1,019",297,286,583,436,295,97,87,184,111,409,98,98,311
AZ-501,Tucson/Pima County CoC,"3,596",807,"1,416","2,223","1,373","2,608",580,676,"1,256","1,352",988,227,740,967,21,308,72,229,301,7,927,171,171,756
AZ-502,"Phoenix, Mesa/Maricopa County CoC","7,889","2,528","2,443","4,971","2,918","5,134","1,484",962,"2,446","2,688","2,755","1,044","1,481","2,525",230,803,309,457,766,37,893,269,269,624
CA-500,San Jose/Santa Clara City & County CoC,"7,086","1,078","1,025","2,103","4,983","6,078",840,321,"1,161","4,917","1,008",238,704,942,66,285,77,187,264,21,"2,270",195,195,"2,075"
CA-501,San Francisco CoC,"5,823","2,056",825,"2,881","2,942","5,309","1,746",646,"2,392","2,917",514,310,179,489,25,178,106,62,168,10,"2,816","1,008","1,008","1,808"
CA-502,"Oakland, Berkeley/Alameda County CoC","4,341","1,104","1,274","2,378","1,963","2,771",711,519,"1,230","1,541","1,570",393,755,"1,148",422,484,130,282,412,72,"1,026",266,266,760
CA-503,Sacramento City & County CoC,"2,800",711,895,"1,606","1,194","2,257",582,497,"1,079","1,178",543,129,398,527,16,185,41,138,179,6,468,191,191,277
CA-504,"Santa Rosa, Petaluma/Sonoma County CoC","3,247",504,521,"1,025","2,222","2,759",327,216,543,"2,216",488,177,305,482,6,165,59,104,163,2,979,57,57,922
CA-505,Richmond/Contra Costa County CoC,"2,759",509,378,887,"1,872","2,365",306,197,503,"1,862",394,203,181,384,10,121,62,54,116,5,940,89,89,851
CA-506,"Salinas/Monterey, San Benito Counties CoC","2,407",263,516,779,"1,628","1,909",212,191,403,"1,506",498,51,325,376,122,117,13,76,89,28,656,159,159,497
CA-507,Marin County CoC,"1,026",261,336,597,429,767,211,156,367,400,259,50,180,230,29,85,13,62,75,10,135,92,92,43
CA-508,Watsonville/Santa Cruz City & County CoC,"2,265",360,369,729,"1,536","1,815",213,110,323,"1,492",450,147,259,406,44,145,45,86,131,14,842,51,51,791
CA-509,Mendocino County CoC,"1,202",135,100,235,967,"1,071",75,51,126,945,131,60,49,109,22,44,21,16,37,7,474,34,34,440
CA-510,"Turlock, Modesto/Stanislaus County CoC","1,800",496,305,801,999,"1,118",311,173,484,634,682,185,132,317,365,281,70,46,116,165,442,68,68,374
CA-511,Stockton/San Joaquin County CoC,"3,005","2,302",538,"2,840",165,"2,122","1,817",140,"1,957",165,883,485,398,883,0,281,161,120,281,0,377,278,278,99
