	0	1	2	3	4
0	1959-01-01	29.01	3121.9359999999997	3.077	6.0
1	1960-01-01	29.37	3275.757	3.341	5.2
2	1961-01-01	29.84	3253.8259999999996	4.748	6.6
3	1962-01-01	30.04	3500.054	3.536	5.8
4	1963-01-01	30.44	3625.9809999999998	3.3819999999999997	5.7
5	1964-01-01	30.94	3851.366	3.097	5.6
6	1965-01-01	31.28	4062.3109999999997	2.7489999999999997	4.9
7	1966-01-01	31.88	4406.693	2.404	4.0
8	1967-01-01	32.9	4535.590999999999	2.7560000000000002	3.9
9	1968-01-01	34.1	4709.9929999999995	2.7539999999999996	3.7
10	1969-01-01	35.7	4920.605	2.8689999999999998	3.4
11	1970-01-01	37.9	4936.594	4.765	3.9
12	1971-01-01	39.9	5069.746	6.653	5.9
13	1972-01-01	41.2	5245.974	6.683	5.8
14	1973-01-01	42.7	5642.669	5.249	4.9
15	1974-01-01	46.8	5678.713000000001	7.785	5.1
16	1975-01-01	52.3	5548.156	18.933	8.1
17	1976-01-01	55.8	5889.5	17.608	7.9
18	1977-01-01	58.7	6079.494000000001	14.5	7.5
19	1978-01-01	62.7	6329.791	11.62	6.4
20	1979-01-01	68.5	6741.854	11.784	5.9
21	1980-01-01	78.0	6837.641	20.41	6.3
22	1981-01-01	87.2	6947.0419999999995	18.942	7.5
23	1982-01-01	94.4	6794.878000000001	27.647	8.6
24	1983-01-01	97.9	6892.144	28.845	10.4
25	1984-01-01	102.1	7483.371	18.384	8.0
26	1985-01-01	105.7	7824.246999999999	18.53	7.3
27	1986-01-01	109.9	8148.603	19.279	6.7
28	1987-01-01	111.4	8369.93	17.379	6.6
29	1988-01-01	116.0	8725.006	16.121	5.7
30	1989-01-01	121.2	9101.508	17.223	5.4
31	1990-01-01	127.5	9358.289	21.26	5.4
32	1991-01-01	134.7	9269.367	30.304000000000002	6.4
33	1992-01-01	138.3	9534.346	43.067	7.3
34	1993-01-01	142.8	9850.973	38.254	7.3
35	1994-01-01	146.3	10188.954	27.36	6.6
36	1995-01-01	150.5	10543.643999999998	25.432	5.6
37	1996-01-01	154.7	10817.896	26.014	5.6
38	1997-01-01	159.4	11284.587	23.703000000000003	5.3
39	1998-01-01	162.0	11832.486	23.395	4.6
40	1999-01-01	164.7	12403.293	24.357	4.3
41	2000-01-01	169.3	12924.178999999998	23.913	4.0
42	2001-01-01	175.6	13222.69	35.665	4.2
43	2002-01-01	177.7	13397.002	57.442	5.7
44	2003-01-01	182.6	13634.253	56.93899999999999	5.8
45	2004-01-01	186.3	14221.146999999999	41.352	5.7
46	2005-01-01	191.6	14771.601999999999	35.313	5.3
47	2006-01-01	199.3	15267.026000000002	34.172	4.7
48	2007-01-01	203.437	15493.328000000001	36.479	4.6
49	2008-01-01	212.174	15671.383	55.422	5.0
50	2009-01-01	211.933	15155.94	145.391	7.8
51	2010-01-01	217.488	15415.145	154.779	9.8
52	2011-01-01	221.187	15712.753999999999	111.81	9.1
53	2012-01-01	227.842	16129.418	88.443	8.3
54	2013-01-01	231.679	16382.964	66.836	8.0
55	2014-01-01	235.28799999999998	16616.54	39.144	6.6
56	2015-01-01	234.747	17277.58	35.747	5.7
57	2016-01-01	237.827	17556.839	35.115	4.9
58	2017-01-01	243.717	17925.256	33.126999999999995	4.7
59	2018-01-01	248.81599999999997	18438.254	32.36	4.1
