date,unemployment_bachelors
1/1/92,3.1
2/1/92,3.2
3/1/92,2.9
4/1/92,3.2
5/1/92,3.2
6/1/92,3.2
7/1/92,3.1
8/1/92,3
9/1/92,3.2
10/1/92,3.3
11/1/92,3.4
12/1/92,3.3
1/1/93,3.1
2/1/93,3.2
3/1/93,3.2
4/1/93,3.2
5/1/93,3
6/1/93,2.9
7/1/93,2.8
8/1/93,2.6
9/1/93,2.8
10/1/93,2.9
11/1/93,2.9
12/1/93,2.8
1/1/94,2.9
2/1/94,2.8
3/1/94,2.8
4/1/94,2.5
5/1/94,2.5
6/1/94,2.6
7/1/94,2.7
8/1/94,2.5
9/1/94,2.5
10/1/94,2.4
11/1/94,2.3
12/1/94,2.3
1/1/95,2.4
2/1/95,2.3
3/1/95,2.5
4/1/95,2.7
5/1/95,2.5
6/1/95,2.6
7/1/95,2.5
8/1/95,2.5
9/1/95,2.4
10/1/95,2.4
11/1/95,2.3
12/1/95,2.4
1/1/96,2.4
2/1/96,2.3
3/1/96,2.2
4/1/96,2.3
5/1/96,2.3
6/1/96,2.2
7/1/96,2.2
8/1/96,2.1
9/1/96,2.2
10/1/96,2.2
11/1/96,2.3
12/1/96,2.3
1/1/97,2.1
2/1/97,2.1
3/1/97,2
4/1/97,2
5/1/97,2.2
6/1/97,2
7/1/97,2.1
8/1/97,2.1
9/1/97,2.1
10/1/97,1.9
11/1/97,1.7
12/1/97,1.8
1/1/98,1.9
2/1/98,1.9
3/1/98,1.8
4/1/98,1.7
5/1/98,1.7
6/1/98,1.7
7/1/98,1.7
8/1/98,1.8
9/1/98,1.7
10/1/98,1.9
11/1/98,1.9
12/1/98,1.8
1/1/99,1.8
2/1/99,1.9
3/1/99,1.9
4/1/99,2
5/1/99,1.9
6/1/99,2
7/1/99,1.8
8/1/99,1.6
9/1/99,1.7
10/1/99,1.7
11/1/99,1.7
12/1/99,1.7
1/1/00,1.8
2/1/00,1.6
3/1/00,1.7
4/1/00,1.5
5/1/00,1.6
6/1/00,1.6
7/1/00,1.7
