date,unemployment_black
1/1/72,11.2
2/1/72,11.2
3/1/72,10.7
4/1/72,9.8
5/1/72,10.2
6/1/72,10.2
7/1/72,10.5
8/1/72,10.6
9/1/72,10.4
10/1/72,10.6
11/1/72,10
12/1/72,9.4
1/1/73,9.1
2/1/73,9.5
3/1/73,9.4
4/1/73,9.9
5/1/73,9.6
6/1/73,9.8
7/1/73,9.8
8/1/73,9.2
9/1/73,9.7
10/1/73,8.8
11/1/73,9.3
12/1/73,9
1/1/74,9.5
2/1/74,9.8
3/1/74,9.8
4/1/74,9.5
5/1/74,9.7
6/1/74,10.1
7/1/74,10.4
8/1/74,9.9
9/1/74,10.8
10/1/74,11.5
11/1/74,12.4
12/1/74,13.1
1/1/75,14.1
2/1/75,14.4
3/1/75,15.1
4/1/75,15.3
5/1/75,15.1
6/1/75,15
7/1/75,14.1
8/1/75,15.2
9/1/75,15.4
10/1/75,14.9
11/1/75,14.6
12/1/75,14.5
1/1/76,14.3
2/1/76,14.4
3/1/76,13.5
4/1/76,13.8
5/1/76,13.2
6/1/76,14.3
7/1/76,13.9
8/1/76,14.3
9/1/76,13.7
10/1/76,13.9
11/1/76,14
12/1/76,14.1
1/1/77,13.8
2/1/77,14.2
3/1/77,13.9
4/1/77,12.8
5/1/77,13.5
6/1/77,13.9
7/1/77,13.9
8/1/77,15.1
9/1/77,14.5
10/1/77,14.5
11/1/77,14.7
12/1/77,13.6
1/1/78,13.9
2/1/78,13.1
3/1/78,13.1
4/1/78,12.9
5/1/78,13
6/1/78,12.8
7/1/78,13
8/1/78,12.3
9/1/78,11.9
10/1/78,11.8
11/1/78,12.7
12/1/78,12.4
1/1/79,12.4
2/1/79,13.1
3/1/79,12.5
4/1/79,12.9
5/1/79,12.4
6/1/79,12.2
7/1/79,12.1
8/1/79,12.4
9/1/79,11.7
10/1/79,12.3
11/1/79,11.9
12/1/79,12.2
1/1/80,13
2/1/80,12.9
3/1/80,12.9
4/1/80,13.8
5/1/80,14.4
6/1/80,14.6
7/1/80,15.3
8/1/80,14.6
9/1/80,14.8
10/1/80,15.1
11/1/80,15.1
12/1/80,15
1/1/81,14.6
2/1/81,14.7
3/1/81,15.1
4/1/81,14.7
5/1/81,14.8
6/1/81,15.7
7/1/81,15
8/1/81,16.3
9/1/81,15.9
10/1/81,16.7
11/1/81,16.8
12/1/81,17.2
1/1/82,17.3
2/1/82,17.7
3/1/82,18.1
4/1/82,18.2
5/1/82,18.5
6/1/82,18.5
7/1/82,18.8
8/1/82,18.9
9/1/82,19.7
10/1/82,20.1
11/1/82,20.2
12/1/82,20.9
1/1/83,21.2
2/1/83,19.9
3/1/83,20.1
4/1/83,20.4
5/1/83,20.3
6/1/83,20.7
7/1/83,19.4
8/1/83,19.7
9/1/83,18.8
10/1/83,18.2
11/1/83,17.5
12/1/83,17.8
1/1/84,17.3
2/1/84,16.2
3/1/84,16.6
4/1/84,16.5
5/1/84,15.7
6/1/84,15.6
7/1/84,16.7
8/1/84,16
9/1/84,15
10/1/84,15.3
11/1/84,15
12/1/84,15.2
1/1/85,15.2
2/1/85,15.8
3/1/85,15.1
4/1/85,15.1
5/1/85,15.2
6/1/85,14.4
7/1/85,15.2
8/1/85,14.3
9/1/85,15.2
10/1/85,15
11/1/85,15.6
12/1/85,15
1/1/86,14.5
2/1/86,14.4
3/1/86,14.6
4/1/86,14.8
5/1/86,14.6
6/1/86,15.1
7/1/86,14.4
8/1/86,14.8
9/1/86,14.9
10/1/86,14.6
11/1/86,14.3
12/1/86,13.7
1/1/87,14
2/1/87,13.8
3/1/87,13.8
4/1/87,12.9
5/1/87,13.6
6/1/87,12.9
7/1/87,12.9
8/1/87,12.6
9/1/87,12.6
10/1/87,12.3
11/1/87,12.1
12/1/87,12.1
1/1/88,12
2/1/88,12.4
3/1/88,12.7
4/1/88,12.2
5/1/88,12.3
6/1/88,11.5
7/1/88,11.6
8/1/88,11.4
9/1/88,11
10/1/88,11.1
11/1/88,11
12/1/88,11.3
1/1/89,11.8
2/1/89,11.9
3/1/89,11.1
4/1/89,11.1
5/1/89,11.2
6/1/89,11.7
7/1/89,11
8/1/89,11.1
9/1/89,11.7
10/1/89,11.7
11/1/89,11.7
12/1/89,11.6
1/1/90,11.1
2/1/90,11
3/1/90,10.9
4/1/90,10.7
5/1/90,10.6
6/1/90,10.5
7/1/90,11.4
8/1/90,11.7
9/1/90,12.1
10/1/90,12.1
11/1/90,12.4
12/1/90,12.4
1/1/91,11.9
2/1/91,12.2
3/1/91,12.5
4/1/91,12.7
5/1/91,12.8
6/1/91,12.5
7/1/91,11.9
8/1/91,12.4
9/1/91,12.3
10/1/91,13.3
11/1/91,12.5
12/1/91,12.9
1/1/92,13.5
2/1/92,14.2
3/1/92,14.1
4/1/92,14.1
5/1/92,14.7
6/1/92,14.6
7/1/92,14.4
8/1/92,14.2
9/1/92,13.9
10/1/92,14.3
11/1/92,14.1
12/1/92,14.3
1/1/93,14.1
2/1/93,13.5
3/1/93,13.7
4/1/93,14
5/1/93,13.1
6/1/93,13.4
7/1/93,12.7
8/1/93,12.3
9/1/93,12.5
10/1/93,11.8
11/1/93,12.6
12/1/93,11.7
1/1/94,13.1
2/1/94,12.8
3/1/94,12.4
4/1/94,11.9
5/1/94,11.7
6/1/94,11.3
7/1/94,10.9
8/1/94,11.2
9/1/94,10.6
10/1/94,11.3
11/1/94,10.8
12/1/94,9.9
1/1/95,10.3
2/1/95,10.1
3/1/95,9.7
4/1/95,10.7
5/1/95,10
6/1/95,10.7
7/1/95,10.9
8/1/95,11.1
9/1/95,11.1
10/1/95,10
11/1/95,9.7
12/1/95,10.2
1/1/96,10.6
2/1/96,10
3/1/96,10.6
4/1/96,10.7
5/1/96,10.2
6/1/96,10.4
7/1/96,10.6
8/1/96,10.6
9/1/96,10.6
10/1/96,10.7
11/1/96,10.6
12/1/96,10.5
1/1/97,10.8
2/1/97,10.7
3/1/97,10.5
4/1/97,10.2
5/1/97,10.3
6/1/97,10.8
7/1/97,9.5
8/1/97,9.4
9/1/97,9.5
10/1/97,9.5
11/1/97,9.5
12/1/97,10
1/1/98,9.4
2/1/98,9.3
3/1/98,9.2
4/1/98,9.1
5/1/98,8.9
6/1/98,8.8
7/1/98,9.5
8/1/98,8.8
9/1/98,9.1
10/1/98,8.6
11/1/98,8.6
12/1/98,7.7
1/1/99,7.8
2/1/99,8.2
3/1/99,8
4/1/99,7.8
5/1/99,7.4
6/1/99,7.7
7/1/99,8.7
8/1/99,7.7
9/1/99,8.5
10/1/99,8.4
11/1/99,8
12/1/99,7.8
1/1/00,8.2
2/1/00,8.1
3/1/00,7.4
4/1/00,7
5/1/00,7.7
6/1/00,7.8
7/1/00,7.7
8/1/00,7.9
9/1/00,7.3
10/1/00,7.3
11/1/00,7.3
12/1/00,7.4
1/1/01,8.2
2/1/01,7.7
3/1/01,8.3
4/1/01,8
5/1/01,7.9
6/1/01,8.3
7/1/01,8
8/1/01,9.1
9/1/01,8.9
10/1/01,9.5
11/1/01,9.8
12/1/01,10.1
1/1/02,10
2/1/02,9.9
3/1/02,10.5
4/1/02,10.7
5/1/02,10.2
6/1/02,10.5
7/1/02,9.8
8/1/02,9.8
9/1/02,9.7
10/1/02,9.8
11/1/02,10.7
12/1/02,11.3
1/1/03,10.5
2/1/03,10.7
3/1/03,10.3
4/1/03,10.9
5/1/03,10.9
6/1/03,11.5
7/1/03,10.9
8/1/03,10.9
9/1/03,11.1
10/1/03,11.4
11/1/03,10.2
12/1/03,10.1
1/1/04,10.4
2/1/04,9.7
3/1/04,10.3
4/1/04,9.8
5/1/04,10.1
6/1/04,10.2
7/1/04,11
8/1/04,10.5
9/1/04,10.3
10/1/04,10.8
11/1/04,10.7
12/1/04,10.7
1/1/05,10.6
2/1/05,10.9
3/1/05,10.5
4/1/05,10.3
5/1/05,10.1
6/1/05,10.2
7/1/05,9.2
8/1/05,9.7
9/1/05,9.4
10/1/05,9.1
11/1/05,10.6
12/1/05,9.2
1/1/06,8.9
2/1/06,9.5
3/1/06,9.5
4/1/06,9.4
5/1/06,8.7
6/1/06,8.9
7/1/06,9.5
8/1/06,8.8
9/1/06,9
10/1/06,8.4
11/1/06,8.5
12/1/06,8.3
1/1/07,7.9
2/1/07,8
3/1/07,8.4
4/1/07,8.3
5/1/07,8.3
6/1/07,8.5
7/1/07,8.1
8/1/07,7.6
9/1/07,8
10/1/07,8.5
11/1/07,8.5
12/1/07,9
1/1/08,9.1
2/1/08,8.4
3/1/08,9.2
4/1/08,8.6
5/1/08,9.6
6/1/08,9.4
7/1/08,10
8/1/08,10.6
9/1/08,11.3
10/1/08,11.4
11/1/08,11.5
12/1/08,12.1
1/1/09,12.7
2/1/09,13.7
3/1/09,13.7
4/1/09,15
5/1/09,15
6/1/09,14.8
7/1/09,14.8
8/1/09,14.8
9/1/09,15.3
10/1/09,15.8
11/1/09,15.7
12/1/09,16.1
1/1/10,16.5
2/1/10,16.1
3/1/10,16.8
4/1/10,16.6
5/1/10,15.5
6/1/10,15.2
7/1/10,15.6
8/1/10,15.9
9/1/10,16
10/1/10,15.6
11/1/10,16.2
12/1/10,15.5
1/1/11,15.8
2/1/11,15.5
3/1/11,15.8
4/1/11,16.5
5/1/11,16.3
6/1/11,16.2
7/1/11,15.9
8/1/11,16.4
9/1/11,15.9
10/1/11,14.6
11/1/11,15.6
12/1/11,15.4
1/1/12,13.6
2/1/12,14
3/1/12,14
4/1/12,13.3
5/1/12,13.5
6/1/12,14.5
7/1/12,14.2
8/1/12,13.8
9/1/12,13.6
10/1/12,14.1
11/1/12,13.3
12/1/12,14
1/1/13,13.7
2/1/13,13.8
3/1/13,13
4/1/13,13.3
5/1/13,13.4
6/1/13,14.2
7/1/13,12.6
8/1/13,12.8
9/1/13,13
10/1/13,12.8
11/1/13,12.3
12/1/13,11.9
1/1/14,12.1
2/1/14,11.8
3/1/14,12.1
4/1/14,11.6
5/1/14,11.4
6/1/14,11
7/1/14,11.6
8/1/14,11.4
9/1/14,11
10/1/14,10.6
11/1/14,10.9
12/1/14,10.6
1/1/15,10.3
2/1/15,10.1
3/1/15,9.9
4/1/15,9.7
5/1/15,10.3
6/1/15,9.7
7/1/15,9.1
8/1/15,9.4
9/1/15,9.3
10/1/15,9
11/1/15,9.4
12/1/15,8.5
1/1/16,8.7
2/1/16,8.5
3/1/16,8.9
4/1/16,8.8
5/1/16,8.2
6/1/16,8.8
7/1/16,8.4
8/1/16,8
9/1/16,8.5
10/1/16,8.4
11/1/16,8.1
12/1/16,7.9
1/1/17,7.5
2/1/17,7.9
3/1/17,7.9
4/1/17,7.9
5/1/17,7.7
6/1/17,7.1
7/1/17,7.4
8/1/17,7.7
9/1/17,7.2
10/1/17,7.4
11/1/17,7.4
12/1/17,6.7
1/1/18,7.5
2/1/18,6.7
3/1/18,6.8
4/1/18,6.4
5/1/18,5.9
6/1/18,6.5
7/1/18,6.6
8/1/18,6.3
9/1/18,6.2
10/1/18,6.3
11/1/18,6.1
12/1/18,6.6
1/1/19,6.8
2/1/19,6.9
3/1/19,6.6
4/1/19,6.6
5/1/19,6.2
6/1/19,6
7/1/19,5.9
8/1/19,5.4
9/1/19,5.5
10/1/19,5.5
11/1/19,5.6
12/1/19,5.9
1/1/20,6
