date,unemployment_latino
3/1/73,7.3
4/1/73,7.9
5/1/73,8.1
6/1/73,7.9
7/1/73,7.2
8/1/73,7.4
9/1/73,7.7
10/1/73,8
11/1/73,8.1
12/1/73,7.6
1/1/74,7.6
2/1/74,7.8
3/1/74,7.6
4/1/74,7
5/1/74,7.3
6/1/74,8.6
7/1/74,8.8
8/1/74,8.1
9/1/74,8.1
10/1/74,8.2
11/1/74,8.6
12/1/74,9.1
1/1/75,10.7
2/1/75,11.2
3/1/75,12.1
4/1/75,12.4
5/1/75,14.3
6/1/75,11.7
7/1/75,11.6
8/1/75,12.1
9/1/75,12.7
10/1/75,13
11/1/75,12.4
12/1/75,12.1
1/1/76,11.4
2/1/76,10.7
3/1/76,11
4/1/76,11.7
5/1/76,10.5
6/1/76,11.1
7/1/76,11.7
8/1/76,12.4
9/1/76,11.8
10/1/76,11.6
11/1/76,11.7
12/1/76,11.7
1/1/77,11.2
2/1/77,11.4
3/1/77,11.2
4/1/77,9.6
5/1/77,9.9
6/1/77,10.1
7/1/77,9.5
8/1/77,9.4
9/1/77,9.7
10/1/77,9.4
11/1/77,9.3
12/1/77,8.8
1/1/78,9.3
2/1/78,9.9
3/1/78,9.5
4/1/78,8.5
5/1/78,9.6
6/1/78,9.1
7/1/78,9.5
8/1/78,9.1
9/1/78,8.9
10/1/78,8.5
11/1/78,8.4
12/1/78,8.7
1/1/79,8.2
2/1/79,7.7
3/1/79,7.9
4/1/79,8.2
5/1/79,7.9
6/1/79,8.4
7/1/79,8.1
8/1/79,8.7
9/1/79,7.6
10/1/79,8.7
11/1/79,9.2
12/1/79,9.1
1/1/80,8.7
2/1/80,8.9
3/1/80,9.2
4/1/80,10.4
5/1/80,10.1
6/1/80,10.1
7/1/80,10.8
8/1/80,10.8
9/1/80,11.4
10/1/80,10.6
11/1/80,9.9
12/1/80,10.3
1/1/81,10.6
2/1/81,11.3
3/1/81,10.2
4/1/81,9.5
5/1/81,10
6/1/81,10.3
7/1/81,10
8/1/81,10
9/1/81,9.6
10/1/81,10.7
11/1/81,11.2
12/1/81,11.7
1/1/82,11.7
2/1/82,12.1
3/1/82,12.2
4/1/82,12.9
5/1/82,13.9
6/1/82,13.8
7/1/82,14.2
8/1/82,14.8
9/1/82,14.4
10/1/82,15
11/1/82,15.2
12/1/82,15.7
1/1/83,15.3
2/1/83,15.5
3/1/83,15.6
